Creative Type	Director	Distributor	IMDB Rating	IMDB Votes	MPAA Rating	Major Genre	Production Budget	Release Location	Release Date	Rotten Tomatoes Rating	Running Time (min)	Source	Title	US DVD Sales	US Gross	Worldwide Gross
Science Fiction	Robert Zemeckis	Universal	7.5	87341		Adventure	40000000	United Kingdom	22-Nov-89	64	0	Original Screenplay	Back to the Future Part II	0	118450002	332000000
Science Fiction	Robert Zemeckis	Universal	7.1	77541		Adventure	40000000	Canada	24-May-90	71	0	Original Screenplay	Back to the Future Part III	0	87666629	243700000
Historical Fiction	George Roy Hill	20th Century Fox	8.2	57602		Western	6000000	United States	24-Oct-69	90	0		Butch Cassidy and the Sundance Kid	0	102308900	102308900
Contemporary Fiction	Michael Bay	Sony Pictures	6.6	53929	R	Action	23000000	United States	7-Apr-95	39	0	Original Screenplay	Bad Boys	0	65647413	141247413
Contemporary Fiction	Brian De Palma	Sony/Columbia	6.4	9738		Thriller/Suspense	10000000	United States	26-Oct-84	84	0	Original Screenplay	Body Double	0	8801940	8801940
		Warner Bros.	0	0			210000	United States	13-Jun-53	90	0	Based on Book/Short Story	The Beast from 20,000 Fathoms	0	5000000	5000000
Fantasy		New Line	3.3	1327			6000000	United States	30-Aug-91	17	0	Based on Book/Short Story	Beastmaster 2: Through the Portal of Time	0	773490	773490
Fantasy		MGM	5.7	5734		Action	5000000	United States	20-Aug-82	50	0	Based on Book/Short Story	The Beastmaster	0	10751126	10751126
		MGM	8.2	58510		Adventure	3900000		30-Dec-25	0	0	Based on Book/Short Story	Ben-Hur	0	9000000	9000000
	William Wyler	MGM	8.2	58510		Adventure	15000000	United States	18-Nov-59	91	0	Based on Book/Short Story	Ben-Hur	0	73000000	73000000
			5.8	1801		Adventure	500000	United States	15-Nov-74	83	0	Original Screenplay	Benji	0	31559560	31559560
Contemporary Fiction	Richard Linklater	Sony Pictures	8	39705	R	Drama	2500000	United States	27-Jan-95	100	0	Original Screenplay	Before Sunrise	0	5274005	5274005
Fantasy	Gary Trousdale	Walt Disney Pictures	3.4	354	G	Musical	20000000	United States	13-Nov-91	93	0	Based on Book/Short Story	Beauty and the Beast	0	171340294	403476931
	William Wyler	RKO Radio Pictures	8.2	17338		Drama	2100000	United States	21-Nov-46	97	0	Based on Book/Short Story	The Best Years of Our Lives	0	23600000	23600000
Historical Fiction		Embassy	0	0		Western	1305000		19-Aug-83	0	0	Based on Book/Short Story	The Ballad of Gregorio Cortez	0	909000	909000
Contemporary Fiction		Big Fat Movies	3.2	1119	R	Comedy	3000000	United States	30-Sep-05	23	0		My Big Fat Independent Movie	0	4655	4655
Science Fiction	Jack Lee Thompson	20th Century Fox	5	6094			1800000		1973	38	0		Battle for the Planet of the Apes	0	8800000	8800000
			0	0			50000	United Kingdom	31-Dec-09	0	0		Big Things	0	0	0
Fantasy	Norman Jewison	Warner Bros.	4.8	2742	PG	Comedy	32000000	Canada	6-Sep-96	40	0	Original Screenplay	Bogus	0	4357406	4357406
Contemporary Fiction	Martin Brest	Paramount Pictures	7.3	45065		Action	15000000	United States	5-Dec-84	83	0	Original Screenplay	Beverly Hills Cop	0	234760478	316300000
Contemporary Fiction	Tony Scott	Paramount Pictures	6.1	29712	R	Action	20000000	United States	20-May-87	46	0	Original Screenplay	Beverly Hills Cop II	0	153665036	276665036
Contemporary Fiction	John Landis	Paramount Pictures	5	21199	R	Action	50000000	United States	25-May-94	10	0	Original Screenplay	Beverly Hills Cop III	0	42586861	119180938
Science Fiction		Walt Disney Pictures	5.6	7810			20000000	United Kingdom	21-Dec-79	42	0	Original Screenplay	The Black Hole	0	35841901	35841901
			6.1	1446			15000000	Czech Republic	10-Jul-08	0	0		Bathory	0	0	3436763
Fantasy	Penny Marshall	20th Century Fox	7.2	49256		Comedy	18000000	United States	3-Jun-88	96	0	Original Screenplay	Big	0	114968774	151668774
	King Vidor	MGM	8.4	2600		Drama	245000		1-Jan-25	100	0	Based on Play	The Big Parade	0	11000000	22000000
Contemporary Fiction	John Singleton	Sony Pictures	7.8	30299		Drama	6500000	United States	12-Jul-91	98	0	Original Screenplay	Boyz n the Hood	0	56190094	56190094
Historical Fiction		Distributor Unknown	0	0	PG	Drama	2000000	United States	12-Sep-03	0	0	Based on Book/Short Story	The Book of Mormon Movie, Volume 1: The Journey	0	1660865	1660865
			4.3	4632			11000000		1991	0	0		Return to the Blue Lagoon	0	2000000	2000000
Contemporary Fiction		United Artists	6.8	11929	R	Drama	25000000	United States	1-Apr-88	61	0	Based on Book/Short Story	Bright Lights, Big City	0	16118077	16118077
Fantasy	George Cukor	20th Century Fox	4.9	359			1200000		1976	0	0	Based on Play	The Blue Bird	0	887000	887000
Contemporary Fiction		Alliance	6.2	817	PG	Drama	10400000	Canada	20-Feb-04	44	0	Original Screenplay	The Blue Butterfly	0	1610194	1610194
Science Fiction	Ridley Scott	Warner Bros.	8.3	185546	R	Thriller/Suspense	28000000	Italy	25-Jun-82	92	0	Based on Book/Short Story	Blade Runner	0	32656328	33139618
Contemporary Fiction		Cannon	6.2	19816		Action	1500000	United States	26-Feb-88	0	0	Original Screenplay	Bloodsport	0	11806119	11806119
Contemporary Fiction	John Landis	Universal	7.9	62941		Musical	27000000	United States	20-Jun-80	84	0	Original Screenplay	The Blues Brothers	0	57229890	57229890
Contemporary Fiction	Brian De Palma	Filmways Pictures	7.1	10239		Thriller/Suspense	18000000	United States	24-Jul-81	89	0	Original Screenplay	Blow Out	0	13747234	13747234
Contemporary Fiction		WellSpring	7.3	7295	Not Rated	Drama	5500000		1-Jul-05	0	0	Original Screenplay	De battre mon coeur s'est arrt	0	1023424	8589831
		MGM	6.7	2017		Musical	379000		1929	38	0	Original Screenplay	The Broadway Melody	0	2800000	4358000
		MGM	7.1	1115			2000000		1940	0	0	Original Screenplay	Boom Town	0	9172000	9172000
Contemporary Fiction	Andy Wachowski	Gramercy	7.4	23564	R	Thriller/Suspense	4500000	Italy	4-Oct-96	88	0	Original Screenplay	Bound	0	3802260	6300000
Contemporary Fiction	Jeff "King Jeff" Hollins	JeTi Films	6.3	369		Thriller/Suspense	10000	None	1-Apr-96	0	0	Original Screenplay	Bang	0	527	527
	Woody Allen	MGM	7.1	12415	PG-13	Comedy	2000000	United States	28-Apr-71	89	0	Original Screenplay	Bananas	0	0	0
Fantasy	Peter Hewitt	Orion Pictures	5.8	20188		Comedy	20000000		19-Jul-91	58	0	Original Screenplay	Bill & Ted's Bogus Journey	0	37537675	37537675
			7.1	8901		Drama	110000		8-Feb-15	100	0	Based on Book/Short Story	The Birth of a Nation	0	10000000	11000000
Historical Fiction	Sam Peckinpah	Warner Bros.	7.3	3125		Western	3716946	United States	13-May-70	92	0	Original Screenplay	The Ballad of Cable Hogue	0	3500000	5000000
		New Line	6.2	2523		Action	7700000		23-Feb-90	0	0	Original Screenplay	The Blood of Heroes	0	882290	882290
Factual		Lifesize Entertainment	7.6	90		Documentary	120000		30-Jun-06	71	0	Based on Real Life Events	The Blood of My Brother: A Story of Death in Iraq	0	0	0
Contemporary Fiction		Paramount Pictures	5.9	202		Comedy	42000000	Canada	1-Jul-92	37	0	Original Screenplay	Boomerang	0	70052444	131052444
	David Lean	Sony/Columbia	8.4	58641		Drama	3000000	United Kingdom	18-Dec-57	95	0	Based on Book/Short Story	The Bridge on the River Kwai	0	33300000	33300000
Dramatization	Oliver Stone	Universal	7.2	32108		Drama	14000000	United States	20-Dec-89	89	0	Based on Book/Short Story	Born on the Fourth of July	0	70001698	70001698
Dramatization	Julian Schnabel	Miramax	6.7	7935	R	Drama	3000000	United States	9-Aug-96	69	0	Based on Real Life Events	Basquiat	0	2962051	2962051
Contemporary Fiction	Ridley Scott	Paramount Pictures	4.1	137		Thriller/Suspense	30000000		22-Sep-89	57	0	Original Screenplay	Black Rain	0	45892212	45892212
	Wes Anderson	Sony Pictures	7.2	21980	R	Adventure	5000000	Finland	21-Feb-96	79	0	Based on Short Film	Bottle Rocket	0	407488	407488
	Peter Jackson	Trimark	7.6	32827		Horror	3000000		12-Feb-93	0	0	Original Screenplay	Braindead	0	242623	242623
Historical Fiction	Clint Eastwood	Warner Bros.	7.2	21923	PG-13	Drama	22000000	Canada	2-Jun-95	90	0	Based on Book/Short Story	The Bridges of Madison County	0	71516617	175516617
Contemporary Fiction	Edward Burns	Fox Searchlight	6.4	4365	R	Drama	25000	United States	9-Aug-95	91	0	Original Screenplay	The Brothers McMullen	0	10426506	10426506
Fantasy	Francis Ford Coppola	Sony Pictures	6.4	136	R	Horror	40000000	Canada	13-Nov-92	0	0	Based on Book/Short Story	Dracula	0	82522790	215862692
Contemporary Fiction	John Woo	20th Century Fox	5.8	33584	R	Action	65000000	United States	9-Feb-96	55	108	Original Screenplay	Broken Arrow	0	70645997	148345997
Science Fiction		MGM	6.3	4410		Thriller/Suspense	15000000	United States	30-Sep-83	64	0	Based on Book/Short Story	Brainstorm	0	8921050	8921050
Dramatization	Mel Gibson	Paramount Pictures	8.4	240642	R	Drama	72000000	United States	24-May-95	77	0	Based on Real Life Events	Braveheart	0	75545647	209000000
Contemporary Fiction			4.4	1254		Comedy	42000000		1-Feb-06	0	0		Les Bronzs 3: amis pour la vie	0	0	83833602
Fantasy	Terry Gilliam	Universal	8	76635	R	Black Comedy	15000000	France	18-Dec-85	98	136	Original Screenplay	Brazil	0	9929135	9929135
	Mel Brooks	Warner Bros.	7.8	45771		Comedy	2600000	United States	1-Jan-74	89	0	Original Screenplay	Blazing Saddles	0	119500000	119500000
		MGM	6.3	343	PG	Drama	1300000		5-May-00	0	0	Original Screenplay	The Basket	0	609042	609042
		MGM	6.2	487		Musical	2361000		1944	0	0	Original Screenplay	Bathing Beauty	0	3500000	3500000
Science Fiction	Stephen Herek	Orion Pictures	6.7	30341		Comedy	10000000		17-Feb-89	81	0	Original Screenplay	Bill & Ted's Excellent Adventure	0	39916091	39916091
	Sir Richard Attenborough	MGM	7.3	16882		Action	26000000	United States	15-Jun-77	67	0	Based on Book/Short Story	A Bridge Too Far	0	50800000	50800000
Fantasy	Tim Burton	Warner Bros.	7.3	61197		Comedy	15000000	United States	30-Mar-88	0	0	Original Screenplay	Beetle Juice	0	73326666	73326666
Super Hero	Tim Burton	Warner Bros.	6.9	78673	PG-13	Action	80000000		18-Jun-92	78	0	Original Screenplay	Batman Returns	0	162831698	266822354
Super Hero	Joel Schumacher	Warner Bros.	5.4	76218	PG-13	Action	100000000	United States	16-Jun-95	43	0	Original Screenplay	Batman Forever	0	184031112	336529144
			0	0			1377800		21-Aug-01	0	0		Batman - The Movie	0	0	0
Super Hero	Tim Burton	Warner Bros.	7.6	111464	PG-13	Action	35000000		23-Jun-89	71	0	Based on Comic/Graphic Novel	Batman	0	251188924	411348924
Fantasy		20th Century Fox	5.3	16056		Horror	7000000	Canada	31-Jul-92	32	0	Original Screenplay	Buffy the Vampire Slayer	0	14231669	14231669
Contemporary Fiction		Link Productions Ltd.	7	7129	Not Rated	Comedy	16000000		25-Jul-08	0	109	Original Screenplay	Bienvenue chez les Ch'tis	0	1470856	243470856
		20th Century Fox	5.7	4626		Comedy	1000000	United States	1-Jan-70	68	0	Original Screenplay	Beyond the Valley of the Dolls	0	9000000	9000000
			6.4	399	R	Drama	600000		2-Jul-99	0	0	Original Screenplay	Broken Vessels	0	15030	85343
	Franklin J. Schaffner	20th Century Fox	7	8741		Thriller/Suspense	12000000		1978	65	0	Based on Book/Short Story	The Boys from Brazil	0	19000000	19000000
Contemporary Fiction		Outrider Pictures	7	355	Not Rated	Drama	200000		10-May-02	0	0	Original Screenplay	The Business of Fancy Dancing	0	174682	174682
Contemporary Fiction	Harold Ramis	Warner Bros.	7.3	35436		Comedy	6000000	United States	25-Jul-80	75	0	Original Screenplay	Caddyshack	0	39846344	39846344
Contemporary Fiction	Martin Scorsese	Universal	7.3	47196	R	Thriller/Suspense	35000000	United States	15-Nov-91	76	0	Remake	Cape Fear	0	79091969	182291969
Contemporary Fiction	Phillip Noyce	Paramount Pictures	6.8	29612	PG-13	Action	62000000	United States	3-Aug-94	78	0	Based on Book/Short Story	Clear and Present Danger	0	122012656	207500000
Contemporary Fiction	Brian De Palma	MGM	7.4	38767		Horror	1800000	United States	16-Nov-76	90	0	Based on Book/Short Story	Carrie	0	25878153	25878153
Contemporary Fiction	John Huston	Sony Pictures	8	172936		Comedy	12000000	United States	28-Apr-67	30	0	Based on Book/Short Story	Casino Royale	0	22744718	41744718
Contemporary Fiction		Alliance	6	378	Not Rated	Comedy	4600000		16-Jul-04	0	0	Original Screenplay	Camping Sauvage	0	3479302	3479302
Historical Fiction	Francis Ford Coppola	Orion Pictures	6.3	6940		Drama	48000000	United States	14-Dec-84	74	0	Original Screenplay	The Cotton Club	0	25928721	25928721
			7.1	153			600000	United States	23-Aug-02	60	0		Crop Circles: Quest for Truth	0	0	0
Science Fiction	Steven Spielberg	Sony Pictures	7.8	59049		Adventure	20000000	United States	16-Nov-77	95	0	Original Screenplay	Close Encounters of the Third Kind	0	166000000	337700000
Contemporary Fiction	Ben Stiller	Sony Pictures	5.8	51109	PG-13	Comedy	47000000	United States	14-Jun-96	52	95	Original Screenplay	The Cable Guy	0	60240295	102825796
Contemporary Fiction		Eros Entertainment	4.6	527	Not Rated	Thriller/Suspense	1000000	India	16-Sep-05	0	0	Original Screenplay	Chocolate: Deep Dark Secrets	0	49000	1549000
Fantasy		United Artists	6.3	16165		Horror	9000000		9-Nov-88	70	0	Original Screenplay	Child's Play	0	33244684	44196684
Fantasy		Universal	5.1	8666		Horror	13000000		9-Nov-90	38	0	Original Screenplay	Child's Play 2	0	26904572	34166572
Contemporary Fiction	Andrew Davis	20th Century Fox	5.2	15817	PG-13	Action	55000000	United States	2-Aug-96	13	106	Original Screenplay	Chain Reaction	0	21226204	60209334
Contemporary Fiction		Excel Entertainment	5.8	60	PG	Drama	950000	United States	27-Sep-02	0	0	Based on Book/Short Story	Charly	0	814666	814666
Dramatization	Hugh Hudson	Sony Pictures	7.3	16138		Drama	5500000	United Kingdom	25-Sep-81	86	0	Based on Real Life Events	Chariots of Fire	0	57159946	57159946
Historical Fiction		MGM	8	51757	PG	Comedy	3250000	Canada	18-Nov-83	88	0	Based on Book/Short Story	A Christmas Story	0	19294144	19294144
Contemporary Fiction	Richard Brooks	MGM	8	14540		Drama	3000000	United States	20-Sep-58	100	0	Based on Play	Cat on a Hot Tin Roof	0	17570324	17570324
Fantasy		New World	5	2806		Horror	1250000		31-Aug-84	0	0	Original Screenplay	C.H.U.D.	0	4700000	4700000
Dramatization	Michael Curtiz	Warner Bros.	0	0		Action	1200000		20-Oct-36	0	0	Based on Real Life Events	Charge of the Light Brigade, The	0	0	0
Historical Fiction	Spike Lee	Universal	6.5	3137	PG-13	Comedy	14000000	United States	13-May-94	75	0	Original Screenplay	Crooklyn	0	13024170	13024170
Contemporary Fiction	Thomas Vinterberg	October Films	8.1	26607	R	Comedy	1300000	France	9-Oct-98	0	0	Original Screenplay	Festen	0	1647780	1647780
Dramatization		20th Century Fox	6.8	7870		Drama	36000000	United States	12-Jun-63	40	0	Based on Real Life Events	Cleopatra	0	48000000	62000000
Contemporary Fiction	Renny Harlin	Sony Pictures	6.2	34447		Action	65000000	France	28-May-93	82	0	Original Screenplay	Cliffhanger	0	84049211	255000000
Contemporary Fiction		Fabrication Films	5.1	226	PG	Drama	500000	United States	21-Oct-05	0	0	Original Screenplay	The Californians	0	4134	4134
Contemporary Fiction	Joel Schumacher	Warner Bros.	6.5	19299	PG-13	Drama	45000000	United States	20-Jul-94	80	0	Based on Book/Short Story	The Client	0	92115211	117615211
Contemporary Fiction	Michael C. Brown	Testimony Pictures	3.4	1113	PG	Drama	160000		1-Mar-02	0	0	Original Screenplay	The Calling	0	32092	32092
Contemporary Fiction	Amy Heckerling	Paramount Pictures	6.7	39055	PG-13	Comedy	13700000	United States	1-Jul-95	83	0	Based on Book/Short Story	Clueless	0	56598476	56598476
Historical Fiction	Steven Spielberg	Warner Bros.	7.7	26962		Drama	15000000	United States	18-Dec-85	88	0	Based on Book/Short Story	The Color Purple	0	93589701	93589701
Contemporary Fiction	Kevin Smith	Miramax	7.9	89991	R	Comedy	27000		19-Oct-94	88	0	Original Screenplay	Clerks	0	3073428	3073428
Contemporary Fiction	Walter Salles	Sony Pictures Classics	8	17343	R	Drama	2900000	Switzerland	20-Nov-98	0	0	Original Screenplay	Central do Brasil	0	5969553	17006158
Fantasy		MGM	5.9	45773		Adventure	15000000	United States	12-Jun-81	65	108	Traditional/Legend/Fairytale	Clash of the Titans	0	30000000	30000000
		Artistic License	5.9	3171	PG-13		2000000		15-May-98	0	0		Clockwatchers	0	444354	444354
Contemporary Fiction		20th Century Fox	4.5	49		Action	10000000	United States	4-Oct-85	71	0	Original Screenplay	Commando	0	35073978	35073978
Contemporary Fiction	Martin Scorsese	Walt Disney Pictures	6.9	25824		Drama	10000000	United States	17-Oct-86	91	0		The Color of Money	0	52293000	52293000
Fantasy		Walt Disney Pictures	5.1	373		Drama	2900000	United States	15-Feb-50	92	0	Traditional/Legend/Fairytale	Cinderella	0	85000000	85000000
