IMDB Rating	IMDB Votes	Production Budget	Release Date	Rotten Tomatoes Rating	Running Time (min)	US DVD Sales	US Gross	Worldwide Gross
6	873	1500000	28-Sep-05	0	0	0	75828	172569
7.7	4263	439000	9-Mar-33	95	0	0	2300000	2300000
6.4	34328	4000000	25-Dec-95	14	0	0	4301000	4301000
7	1814	6500000	22-May-81	71	0	0	42488161	42488161
7.1	39003	4500000	9-Mar-94	96	0	0	52700832	242895809
7.4	439	350000	18-Oct-06	97	0	0	84689	84689
6.8	2104	17000000	1963	57	0	0	10000000	10000000
5.4	12731	18000000	21-Feb-86	0	0	0	6734844	6734844
4.9	5620	113500000	4-Jul-08	0	0	0	999811	132999811
7.6	51018	70000000	9-Aug-89	88	0	0	54243125	54243125
4.6	3856	7000000	12-Feb-88	10	0	0	20257000	20257000
6.6	63543	12000000	4-Feb-94	49	0	0	72217396	107217396
5.6	51275	30000000	10-Nov-95	0	0	0	108360063	212400000
0	0	5000000	27-Mar-86	31	0	0	12947763	12947763
5.7	546	4000000	26-Mar-99	0	0	0	64359	64359
7.1	1326	3768785	17-May-50	100	0	0	8000000	8000000
6.7	63458	3000000	28-Jul-51	20	0	0	0	0
7.3	893	24000000	25-Aug-95	0	0	0	669276	669276
5.9	10063	12000000	24-Oct-60	54	0	0	7900000	7900000
0	0	2000000	1938	0	0	0	4000000	4000000
3.2	124	32000000	15-Jan-93	71	0	0	36299670	36299670
7.4	5416	14000000	24-Jan-03	0	0	0	274299	274299
7.6	30952	777000	11-Aug-73	97	0	0	115000000	140000000
3.7	2495	350000	1987	0	0	0	4000000	4000000
6.8	22780	62000000	17-Nov-95	90	0	0	60022813	107822813
8.2	65406	4000000	20-Apr-77	98	0	0	38251425	38251425
6.1	6266	2500000	8-Sep-00	0	0	0	9598	9598
5.8	3095	6500000	2-Apr-93	62	0	0	24103594	24103594
8.4	36485	3000000	1960	91	0	0	18600000	24600000
8.6	173141	31500000	15-Aug-79	98	0	3479242	78800000	78800000
6.2	20528	31000000	18-Jul-90	85	0	0	53208180	53208180
6.4	6251	16500000	25-Dec-07	0	0	0	0	14900000
5.1	77	600000	19-Oct-07	0	0	0	23616	23616
5.6	1769	150000	1-Jan-71	0	0	0	15200000	15200000
4.4	200	989000	1-Jun-07	17	0	0	8158	8158
5.6	21516	6000000	17-Oct-56	73	0	0	42000000	42000000
5.7	10794	9000000	10-Oct-68	74	0	0	0	0
8.1	39909	11000000	1975	94	0	0	20000000	20000000
5.4	236	4000000	"March, 1987"	0	0	0	800000	800000
7.3	35644	30000000	4-Aug-95	98	0	0	63658910	246100000
0	0	2900000	24-Mar-06	0	104	0	3127472	3127472
5	8332	50000000	1-Jul-94	21	0	0	16581575	16581575
7.7	10142	35000000	16-Apr-93	0	0	0	4496583	4496583
6.9	151	8000000	4-Aug-06	67	0	0	12671300	12671300
8.4	201598	19000000	3-Jul-85	96	0	0	210609762	381109762
7.5	87341	40000000	22-Nov-89	64	0	0	118450002	332000000
7.1	77541	40000000	24-May-90	71	0	0	87666629	243700000
8.2	57602	6000000	24-Oct-69	90	0	0	102308900	102308900
6.6	53929	23000000	7-Apr-95	39	0	0	65647413	141247413
6.4	9738	10000000	26-Oct-84	84	0	0	8801940	8801940
0	0	210000	13-Jun-53	90	0	0	5000000	5000000
3.3	1327	6000000	30-Aug-91	17	0	0	773490	773490
5.7	5734	5000000	20-Aug-82	50	0	0	10751126	10751126
8.2	58510	3900000	30-Dec-25	0	0	0	9000000	9000000
8.2	58510	15000000	18-Nov-59	91	0	0	73000000	73000000
5.8	1801	500000	15-Nov-74	83	0	0	31559560	31559560
8	39705	2500000	27-Jan-95	100	0	0	5274005	5274005
3.4	354	20000000	13-Nov-91	93	0	0	171340294	403476931
8.2	17338	2100000	21-Nov-46	97	0	0	23600000	23600000
0	0	1305000	19-Aug-83	0	0	0	909000	909000
3.2	1119	3000000	30-Sep-05	23	0	0	4655	4655
5	6094	1800000	1973	38	0	0	8800000	8800000
0	0	50000	31-Dec-09	0	0	0	0	0
4.8	2742	32000000	6-Sep-96	40	0	0	4357406	4357406
7.3	45065	15000000	5-Dec-84	83	0	0	234760478	316300000
6.1	29712	20000000	20-May-87	46	0	0	153665036	276665036
5	21199	50000000	25-May-94	10	0	0	42586861	119180938
5.6	7810	20000000	21-Dec-79	42	0	0	35841901	35841901
6.1	1446	15000000	10-Jul-08	0	0	0	0	3436763
7.2	49256	18000000	3-Jun-88	96	0	0	114968774	151668774
8.4	2600	245000	1-Jan-25	100	0	0	11000000	22000000
7.8	30299	6500000	12-Jul-91	98	0	0	56190094	56190094
0	0	2000000	12-Sep-03	0	0	0	1660865	1660865
4.3	4632	11000000	1991	0	0	0	2000000	2000000
6.8	11929	25000000	1-Apr-88	61	0	0	16118077	16118077
4.9	359	1200000	1976	0	0	0	887000	887000
6.2	817	10400000	20-Feb-04	44	0	0	1610194	1610194
8.3	185546	28000000	25-Jun-82	92	0	0	32656328	33139618
6.2	19816	1500000	26-Feb-88	0	0	0	11806119	11806119
7.9	62941	27000000	20-Jun-80	84	0	0	57229890	57229890
7.1	10239	18000000	24-Jul-81	89	0	0	13747234	13747234
7.3	7295	5500000	1-Jul-05	0	0	0	1023424	8589831
6.7	2017	379000	1929	38	0	0	2800000	4358000
7.1	1115	2000000	1940	0	0	0	9172000	9172000
7.4	23564	4500000	4-Oct-96	88	0	0	3802260	6300000
6.3	369	10000	1-Apr-96	0	0	0	527	527
7.1	12415	2000000	28-Apr-71	89	0	0	0	0
5.8	20188	20000000	19-Jul-91	58	0	0	37537675	37537675
7.1	8901	110000	8-Feb-15	100	0	0	10000000	11000000
7.3	3125	3716946	13-May-70	92	0	0	3500000	5000000
6.2	2523	7700000	23-Feb-90	0	0	0	882290	882290
7.6	90	120000	30-Jun-06	71	0	0	0	0
5.9	202	42000000	1-Jul-92	37	0	0	70052444	131052444
8.4	58641	3000000	18-Dec-57	95	0	0	33300000	33300000
7.2	32108	14000000	20-Dec-89	89	0	0	70001698	70001698
6.7	7935	3000000	9-Aug-96	69	0	0	2962051	2962051
4.1	137	30000000	22-Sep-89	57	0	0	45892212	45892212
7.2	21980	5000000	21-Feb-96	79	0	0	407488	407488
7.6	32827	3000000	12-Feb-93	0	0	0	242623	242623
7.2	21923	22000000	2-Jun-95	90	0	0	71516617	175516617
6.4	4365	25000	9-Aug-95	91	0	0	10426506	10426506
6.4	136	40000000	13-Nov-92	0	0	0	82522790	215862692
5.8	33584	65000000	9-Feb-96	55	108	0	70645997	148345997
6.3	4410	15000000	30-Sep-83	64	0	0	8921050	8921050
8.4	240642	72000000	24-May-95	77	0	0	75545647	209000000
4.4	1254	42000000	1-Feb-06	0	0	0	0	83833602
8	76635	15000000	18-Dec-85	98	136	0	9929135	9929135
7.8	45771	2600000	1-Jan-74	89	0	0	119500000	119500000
6.3	343	1300000	5-May-00	0	0	0	609042	609042
6.2	487	2361000	1944	0	0	0	3500000	3500000
6.7	30341	10000000	17-Feb-89	81	0	0	39916091	39916091
7.3	16882	26000000	15-Jun-77	67	0	0	50800000	50800000
7.3	61197	15000000	30-Mar-88	0	0	0	73326666	73326666
6.9	78673	80000000	18-Jun-92	78	0	0	162831698	266822354
5.4	76218	100000000	16-Jun-95	43	0	0	184031112	336529144
0	0	1377800	21-Aug-01	0	0	0	0	0
7.6	111464	35000000	23-Jun-89	71	0	0	251188924	411348924
5.3	16056	7000000	31-Jul-92	32	0	0	14231669	14231669
7	7129	16000000	25-Jul-08	0	109	0	1470856	243470856
5.7	4626	1000000	1-Jan-70	68	0	0	9000000	9000000
6.4	399	600000	2-Jul-99	0	0	0	15030	85343
7	8741	12000000	1978	65	0	0	19000000	19000000
7	355	200000	10-May-02	0	0	0	174682	174682
7.3	35436	6000000	25-Jul-80	75	0	0	39846344	39846344
7.3	47196	35000000	15-Nov-91	76	0	0	79091969	182291969
6.8	29612	62000000	3-Aug-94	78	0	0	122012656	207500000
7.4	38767	1800000	16-Nov-76	90	0	0	25878153	25878153
8	172936	12000000	28-Apr-67	30	0	0	22744718	41744718
6	378	4600000	16-Jul-04	0	0	0	3479302	3479302
6.3	6940	48000000	14-Dec-84	74	0	0	25928721	25928721
7.1	153	600000	23-Aug-02	60	0	0	0	0
7.8	59049	20000000	16-Nov-77	95	0	0	166000000	337700000
5.8	51109	47000000	14-Jun-96	52	95	0	60240295	102825796
4.6	527	1000000	16-Sep-05	0	0	0	49000	1549000
6.3	16165	9000000	9-Nov-88	70	0	0	33244684	44196684
5.1	8666	13000000	9-Nov-90	38	0	0	26904572	34166572
5.2	15817	55000000	2-Aug-96	13	106	0	21226204	60209334
5.8	60	950000	27-Sep-02	0	0	0	814666	814666
7.3	16138	5500000	25-Sep-81	86	0	0	57159946	57159946
8	51757	3250000	18-Nov-83	88	0	0	19294144	19294144
8	14540	3000000	20-Sep-58	100	0	0	17570324	17570324
5	2806	1250000	31-Aug-84	0	0	0	4700000	4700000
0	0	1200000	20-Oct-36	0	0	0	0	0
6.5	3137	14000000	13-May-94	75	0	0	13024170	13024170
8.1	26607	1300000	9-Oct-98	0	0	0	1647780	1647780
6.8	7870	36000000	12-Jun-63	40	0	0	48000000	62000000
6.2	34447	65000000	28-May-93	82	0	0	84049211	255000000
5.1	226	500000	21-Oct-05	0	0	0	4134	4134
6.5	19299	45000000	20-Jul-94	80	0	0	92115211	117615211
3.4	1113	160000	1-Mar-02	0	0	0	32092	32092
6.7	39055	13700000	1-Jul-95	83	0	0	56598476	56598476
7.7	26962	15000000	18-Dec-85	88	0	0	93589701	93589701
7.9	89991	27000	19-Oct-94	88	0	0	3073428	3073428
8	17343	2900000	20-Nov-98	0	0	0	5969553	17006158
5.9	45773	15000000	12-Jun-81	65	108	0	30000000	30000000
5.9	3171	2000000	15-May-98	0	0	0	444354	444354
4.5	49	10000000	4-Oct-85	71	0	0	35073978	35073978
6.9	25824	10000000	17-Oct-86	91	0	0	52293000	52293000
5.1	373	2900000	15-Feb-50	92	0	0	85000000	85000000
4.6	17954	50000000	9-Jun-95	21	0	0	81022333	152022333
6.8	38886	20000000	14-May-82	76	0	0	38264085	38264085
5.4	20368	18000000	29-Jun-84	29	0	0	26400000	26400000
6.3	2945	3250000	20-Aug-82	0	0	0	6965361	6965361
4.9	2763	15000000	17-Jan-86	13	0	0	1953732	1953732
0	0	200000	21-Jul-06	0	0	0	7033	7033
8	6657	180000	22-Jan-99	0	0	0	925402	925402
7.3	4410	3000000	1978	81	0	0	32653000	32653000
7.6	1725	12000000	17-Nov-09	0	0	0	0	20000000
6.5	24533	14000000	1-Oct-93	73	0	0	68856263	155056263
5.8	6188	1700000	1972	44	0	0	9700000	9700000
7.4	2724	10000	6-Jul-01	0	0	0	94596	94596
6.5	27277	5000000	26-Sep-86	88	0	0	174803506	328000000
7.3	1851	10000	9-Mar-01	0	0	0	673780	673780
7.8	5531	4500000	27-Mar-98	0	0	0	713413	713413
6.5	12530	8000000	10-Nov-82	67	0	0	20036244	20036244
5.4	5910	3500000	1-May-87	26	0	0	14000000	14000000
7.3	21195	4000000	25-Nov-92	100	0	0	62546695	62546695
7.2	33354	55000000	12-May-95	86	0	0	91387195	159387195
5.8	173	14000000	1978	0	0	0	1000000	1000000
0	0	820000	31-Dec-09	0	0	0	0	0
7.6	1209	500000	30-Jun-06	0	0	0	0	3000000
8.8	167939	950000	1942	97	0	0	10462500	10462500
8.1	108634	52000000	22-Nov-95	81	0	0	42438300	110400000
5.7	26121	55000000	26-May-95	41	0	0	100328194	282300000
3.5	2146	20000000	1980	0	0	0	2000000	2000000
7.1	9671	18000000	24-Jun-70	87	0	0	24911670	24911670
6.1	9908	40000000	16-Feb-96	55	111	0	20278055	20278055
5.3	10346	92000000	22-Dec-95	45	0	0	10017322	10017322
6.8	822	10000000	14-Aug-98	0	0	0	244465	244465
5.9	6791	134000	16-Nov-42	91	0	0	4000000	8000000
6.6	19682	46000000	12-Jul-96	85	115	0	59003384	100833145
8.8	74184	5000000	28-May-69	0	0	0	5321508	5321508
8.1	33005	1600000	7-Apr-74	98	0	0	4420000	4420000
6	487	7000	26-May-06	0	0	0	70071	71644
6.5	17182	20000000	27-Oct-95	75	0	0	32051917	32051917
5.3	3396	7000000	28-Sep-90	0	0	0	4372561	4372561
4.3	2184	12000000	10-Feb-82	0	0	0	11487676	84970337
7	51515	7000000	25-Aug-95	61	0	0	25532388	25532388
7.2	88093	16000000	16-Dec-94	0	0	0	127175374	246400000
6.7	25354	7200000	17-Dec-71	67	0	0	43800000	116000000
5.7	5488	15000000	23-Apr-93	0	0	0	9579068	9579068
6.3	2804	400000	13-Oct-05	0	0	0	423	423
5.6	23472	115000000	7-Feb-97	28	108	0	67163857	178200000
5.4	20052	80000000	6-Dec-96	22	115	0	32908290	158908290
5.9	25364	47000000	15-Jun-90	65	0	0	103738726	162738726
4.4	2486	5000000	27-Feb-04	0	0	0	84733	84733
7.4	73875	1500000	20-Apr-79	0	0	0	5100000	55000000
6.6	28907	30000000	22-Nov-91	59	0	0	113502246	191502246
6	27681	55000000	31-Jul-92	53	0	0	58422650	149022650
3.8	639	1300000	15-Mar-85	0	0	0	210904	210904
7.8	89662	16400000	2-Jun-89	86	0	0	95860116	239500000
5.5	51517	1200000	4-Mar-03	94	0	0	3700000	3700000
5.2	3075	25000	30-Jun-72	0	0	0	45000000	45000000
7.3	19485	10000000	21-Oct-83	0	0	0	20766000	20766000
7	79636	70000000	3-Jul-90	0	0	0	117323878	239814025
7.4	87437	90000000	19-May-95	0	0	0	100012499	364480746
6.2	26309	57000000	31-May-96	50	108	0	51364680	104364680
7.3	237	28000000	15-Jul-88	94	0	0	81350242	139109346
7.1	7803	5000000	2-Apr-82	96	0	0	12592907	12592907
5	159	1600000	23-Sep-05	0	0	0	129319	129319
6.6	20386	25000000	7-Apr-95	73	0	0	22032635	22032635
6.4	6430	12000000	13-Jan-95	0	0	0	21089146	21089146
4.7	1655	17000000	21-Oct-77	0	0	0	0	0
7.6	32159	11000000	29-Dec-95	94	0	0	39387284	83088295
8	71399	19000000	9-Nov-90	76	0	0	184208842	424200000
7.7	25761	14000000	21-Dec-88	93	0	0	34700000	34700000
6.6	2907	2686000	1963	60	0	0	6600000	6600000
5.9	2059	9000000	25-Oct-91	0	0	0	349618	349618
4.7	10426	16000000	9-Aug-91	8	0	0	29090445	29090445
7	29750	40000000	1-Mar-91	57	0	0	34167219	34167219
4.5	8395	3500000	3-Jul-85	78	0	0	5804262	34004262
5.4	25395	60000000	27-Jun-90	40	0	0	82670733	157670733
7	1013	1100000	14-May-03	0	0	0	39659	84788
5.8	134	170000	"June, 1979"	0	0	0	14000	14000
6.1	10015	300000	1-Apr-75	84	0	0	0	0
0	0	7200000	TBD	0	0	0	0	0
7.6	1844	2650000	16-Jan-98	0	0	0	16556	16556
8.2	88095	15000000	1979	0	0	0	50000000	50000000
6.8	4945	18000000	26-Jun-81	82	0	0	6000000	6000000
7.5	22566	7500000	13-Dec-89	78	0	0	106593296	106593296
7.1	9556	6500000	1-Jan-80	84	0	0	31899000	31899000
7.9	26877	6000000	30-Jun-89	98	0	0	26004026	26004026
6.5	38489	45000000	14-Dec-84	62	0	0	27447471	27447471
0	0	6000000	15-Feb-08	0	0	0	7714996	17252287
5.8	75	1200000	21-Mar-03	0	0	0	58936	58936
6.6	1188	1000000	20-Jun-97	58	0	0	542909	542909
8	27671	11000000	22-Dec-65	84	0	0	111721000	111721000
7.6	45030	375000	15-Apr-83	0	0	0	2400000	29400000
7.9	44214	3500000	13-Mar-87	0	0	0	5923044	5923044
7.6	55671	11000000	19-Feb-93	0	0	0	11502976	21502976
5.6	829	1800000	1993	50	0	0	673	673
8	102485	20000000	7-Dec-90	91	0	0	53976987	53976987
8.1	74171	18000000	30-Sep-94	91	0	0	5828466	5828466
6.2	1097	5000000	1954	0	0	0	15000000	15000000
6.8	16481	20000000	6-Dec-96	80	0	0	9725847	34600000
8.4	58194	5000000	3-Oct-80	91	0	0	26010864	26010864
6.8	13798	5900000	2-Aug-96	0	111	0	22231658	37831658
0	0	23000000	21-May-80	0	0	10027926	290271960	534171960
7.1	34497	6000000	10-Jul-81	82	0	0	25244700	25244700
5.3	23262	50000000	9-Aug-96	56	101	0	25426861	25426861
6.1	7686	2500000	1971	78	0	0	12300000	12300000
5.9	37287	100000000	21-Jun-96	34	115	0	101295562	234400000
7.4	26595	100000	1977	90	0	0	7000000	7000000
0	0	2000000	11-Aug-72	0	0	0	18016290	18016290
7.9	105028	10500000	11-Jun-82	0	0	0	435110554	792910554
4.7	537	13000000	14-May-93	0	0	0	1152117	1152117
3.5	7849	14000000	17-Jun-77	0	0	0	25011000	25011000
7.1	8402	1500000	23-Sep-94	96	0	0	5046118	5046118
6	5917	5000000	22-Dec-78	64	0	0	7100000	7100000
6.6	1655	5000000	1957	0	0	0	11000000	11000000
6.8	22328	14000000	18-Sep-87	81	0	0	156645693	320100000
6.8	7290	3000000	9-Apr-76	95	0	0	13200000	13200000
5.4	146	400000	10-Dec-04	0	0	0	31425	31425
6.7	535	1500000	17-Mar-06	0	0	0	0	0
7.9	33674	2200000	9-Oct-71	98	0	0	41158757	41158757
7.1	80234	20000000	19-Jan-96	63	107	0	25728961	25728961
5.6	26798	550000	9-May-80	60	0	0	39754601	59754601
5.5	13395	2250000	13-Aug-82	14	0	0	36690067	36690067
0	0	2600000	13-Apr-84	0	0	0	32980880	32980880
0	0	2200000	22-Mar-85	0	0	0	21930418	21930418
0	0	3000000	1-Aug-86	0	0	0	19472057	19472057
4.6	8916	2800000	13-May-88	0	0	0	19170001	19170001
3.9	10113	5000000	28-Jul-89	0	0	0	14343976	14343976
4.1	8733	3000000	13-Aug-93	0	0	0	15935068	15935068
8.2	44204	600000	10-May-67	0	0	0	4300000	4300000
8	39929	200000	18-Jan-67	0	0	0	3500000	3500000
6.6	3184	19000000	1-Jan-64	100	0	0	4750000	4750000
5.5	13395	1250000	30-Apr-81	33	0	0	21722776	21722776
5.7	989	13000000	5-Apr-96	7	0	0	2104439	2104439
6.6	194	50000000	3-Nov-95	13	0	0	11497497	11497497
7.6	63541	33000000	11-Dec-92	83	0	0	141340178	236500000
7.8	96914	44000000	6-Aug-93	94	0	0	183875760	368900000
7.9	15115	1650000	5-Aug-53	86	0	0	30500000	30500000
0	0	300000	15-Jul-05	0	90	0	87264	87264
6.4	4849	4000000	1-May-98	0	0	0	302204	302204
6.2	2737	11000000	13-Apr-78	0	0	0	20388920	20388920
5.6	12485	7000000	15-Apr-83	29	0	0	90463574	201463574
4.9	4215	30000000	19-Jul-96	14	98	0	17192205	19892205
6.2	14894	35000000	5-Dec-80	81	0	0	27107960	27107960
4.6	26521	45000000	27-May-94	20	0	0	130531208	358500000
5.3	2592	35000000	18-Jan-91	0	0	0	14471440	14471440
6.4	23295	26000000	10-Aug-90	52	0	0	61308153	61308153
0	0	6000000	10-Oct-03	64	0	0	181798	181798
6.1	1138	30000	29-Apr-05	0	0	0	77070	77070
6.4	4084	12500000	1-Nov-96	83	0	0	1212799	1412799
7.8	29914	2280000	13-Nov-40	98	0	0	83320000	83320000
0	0	80000000	1-Jan-00	0	75	0	60507228	60507228
3.3	15760	1000000	1-Feb-80	69	0	0	21378361	21378361
8.6	300455	55000000	6-Jul-94	70	0	0	329694499	679400525
5.5	7026	12000000	3-Sep-93	36	0	0	6730578	46730578
7.7	14260	9000000	1-Jan-71	88	0	0	80500000	80500000
7.2	3875	4000000	17-Dec-74	67	0	0	15000000	15000000
7.4	56369	14000000	22-Oct-82	0	0	0	47212904	125212904
7	21623	3500000	26-Apr-95	77	0	0	27467564	27936778
6.3	1723	2000000	10-Dec-04	83	0	0	0	91062
5.6	9348	21000000	18-Jun-82	42	0	0	45785720	45785720
8.3	165159	7000000	8-Mar-96	94	87	0	24567751	51204567
5.6	20928	75000000	7-Jul-95	45	0	0	37361412	127361412
7.5	32541	2000000	8-Apr-64	0	0	0	24800000	78900000
5.5	957	42000000	30-Jun-93	76	0	0	158340892	270340892
7.5	13093	3500000	21-Jun-72	87	0	0	12600000	12600000
6	15626	8200000	17-Feb-84	56	0	0	80000000	80000000
7.2	31362	4500000	13-Aug-82	80	0	0	27092880	27092880
6.6	499	300000	6-May-05	0	0	0	10514	10514
5.6	14682	30000000	20-Sep-96	41	90	0	105489203	181489203
6.7	8474	7000000	22-Mar-96	86	0	0	14853474	14853474
6.8	23527	28000000	26-Jun-81	71	0	0	54800000	195300000
6.5	749	1000000	8-Sep-00	0	0	0	623791	1179462
0	0	12000	28-Apr-06	0	0	0	1336	1336
6.6	19735	55000000	11-Oct-96	51	109	0	38564422	38564422
7.7	14139	3000000	28-Aug-81	86	0	0	5732587	5732587
5.5	1399	50000	16-Mar-01	0	0	0	2335352	2335352
6.8	104	1200000	29-Dec-67	0	0	0	6100000	6100000
3	836	250000	1-May-81	0	0	0	23894000	23894000
9	245271	13000000	11-Dec-74	0	0	0	57300000	57300000
7.6	82977	54000000	25-Dec-90	0	0	0	66520529	66520529
8.8	229156	25000000	19-Sep-90	97	0	0	46743809	46743809
9.2	411088	7000000	15-Mar-72	100	0	0	134966411	268500000
6.8	638	300000	10-Mar-00	50	0	0	2637726	2652515
8.4	62074	4000000	8-Aug-63	91	0	0	11744471	11744471
5.2	134	425000	21-Jan-05	0	100	0	12604	12604
6.9	51125	22000000	13-Jul-90	81	0	0	217631306	517600000
6.8	358	30000000	8-Jun-84	0	0	0	238632124	291632124
4.9	3348	12000000	22-Mar-96	34	0	0	4880941	4880941
7.2	69199	60000000	17-Nov-95	80	0	0	106429941	356429941
4.9	7230	45000000	4-Oct-96	13	92	0	20404841	36404841
8	56427	18000000	14-Dec-89	93	0	0	26593580	26593580
6.1	199	3000000	4-Aug-99	0	0	0	51773	101773
7.2	32609	13000000	23-Dec-87	0	0	0	123922370	123922370
8.2	50881	22000000	8-Dec-82	85	0	0	52767889	52767889
6.9	869	2627000	24-Dec-43	0	0	0	5363000	5363000
7.4	4637	2000000	1947	83	0	0	7800000	7800000
7	3631	30000000	14-Dec-07	0	0	0	0	2717302
6.7	2701	2400000	16-Oct-96	87	0	0	5691854	5691854
5.4	14471	12000000	12-Dec-86	26	0	0	79817937	79817937
6.4	3004	200000	10-Oct-08	0	0	0	28835	28835
7.9	47095	3000000	22-Dec-64	96	0	0	51100000	124900000
8.2	134964	14600000	12-Feb-93	96	0	0	70906973	70906973
7	42163	11000000	8-Jun-84	78	0	0	148168459	148168459
7.5	6026	2000000	30-Apr-99	0	0	0	1152411	1152411
6.1	22712	50000000	15-Jun-90	0	0	0	41476097	41476097
6.3	3300	20000000	15-Feb-65	39	0	0	15473333	15473333
0	0	11000000	26-Sep-03	0	0	0	4068087	4068087
6.8	4264	4000000	10-Jan-52	41	0	0	36000000	36000000
6.9	5141	6000000	2-Feb-79	0	0	0	391942	391942
6.9	33364	30250000	20-Oct-95	86	0	0	72021008	115021008
7.6	11215	25000000	8-Oct-93	87	0	0	10731997	10731997
0	0	1000000	24-Sep-04	0	0	0	227241	227241
8.2	78947	3900000	15-Dec-39	97	222	0	198680470	390525192
6.5	64	3000000	16-Oct-98	84	0	0	2746453	5746453
5.3	6995	23000000	23-Aug-91	27	0	0	7018525	7018525
6	45	9300000	7-Aug-81	60	0	0	19571091	19571091
7.9	2050	4000000	1930	90	0	0	0	0
4.1	620	10000000	18-Dec-81	0	0	0	6000000	6000000
1.5	486	1000000	18-Mar-05	0	0	0	3700	3700
6.9	10292	1800000	3-Aug-68	93	0	0	6800000	6800000
7	22442	1000000	18-Sep-87	63	0	0	14564000	14564000
6.4	323	42000000	2-Oct-92	0	0	0	19487173	66787173
3.8	7763	26000000	27-Jan-95	0	0	0	13738574	13738574
7.2	40802	16000000	7-Mar-86	66	0	0	5900000	12900000
7.9	7420	1250000	28-Oct-41	88	0	0	0	0
8.3	34163	730000	1952	95	0	0	8000000	8000000
6.5	16691	11000000	12-Jun-81	0	0	0	31672000	31672000
4.4	254	24000000	16-Dec-69	0	0	0	33208099	33208099
4.9	12197	2500000	30-Oct-81	27	0	0	25533818	25533818
3.8	12644	2500000	22-Oct-82	0	0	0	14400000	14400000
5.6	11079	5000000	1-Oct-88	23	0	0	17768757	17768757
0	0	6000000	13-Oct-89	14	0	0	11642254	11642254
4.4	8576	5000000	29-Sep-95	0	0	0	15126948	15126948
6	39866	325000	17-Oct-78	93	0	0	47000000	70000000
5.8	51408	20000000	20-Nov-92	21	0	0	173585516	358994850
7	79080	15000000	16-Nov-90	47	0	0	285761243	476684675
5.3	291	400000	16-May-80	0	0	0	89134	89134
3.6	74	2000000	26-May-00	0	0	0	121807	121807
5.8	4387	7500000	9-Mar-84	69	0	0	5142858	5142858
7.9	14499	9000000	8-Nov-89	100	0	0	10161099	10161099
4.6	687	10100000	30-Apr-10	0	0	0	1183658	14883658
6.2	60159	70000000	11-Dec-91	24	0	0	119654823	300854823
4.3	1596	5000000	23-Oct-91	25	0	0	19438638	19438638
6	15893	28000000	16-Jul-93	29	0	0	39360491	39360491
6.5	8731	1000000	10-Apr-81	60	0	0	17985000	17985000
7.6	15718	15700000	1-Jan-72	0	0	0	15700000	15700000
8	9492	700000	14-Oct-94	98	0	0	7768371	11768371
6.9	54111	10000000	16-Feb-96	58	92	0	38623460	38623460
7.4	32344	40000000	11-Mar-94	58	0	0	2816518	14938149
7.6	15291	560000	11-Aug-64	100	0	0	12299668	12299668
6.1	505	400000	24-Oct-08	0	0	0	655538	655538
7.6	55202	30000000	2-Mar-90	95	0	0	120709866	200500000
7	2395	3500000	23-Feb-66	0	0	0	12000000	12000000
5.8	2963	13000000	10-Jul-96	45	101	0	26570048	26570048
6.9	3083	35000000	19-Apr-96	0	0	0	1320043	1320043
