Area Code,Date,Market Size,Market,Product Line,Product Type,Product,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
754,1/1/12,Major Market,East,Beans,Coffee,Decaf Irish Cream,Florida,Decaf,$80 ,$110 ,$70 ,$190 ,$84 ,500,$116 ,$26 ,1,$67 ,$200 ,$49 
954,1/1/12,Major Market,East,Beans,Coffee,Colombian,Florida,Regular,$80 ,$110 ,$70 ,$190 ,$84 ,651,$126 ,$27 ,1,$68 ,$210 ,$58 
863,1/1/12,Major Market,East,Leaves,Herbal Tea,Chamomile,Florida,Decaf,$30 ,$50 ,$30 ,$80 ,$48 ,623,$62 ,$15 ,1,$34 ,$110 ,$28 
239,1/1/12,Major Market,East,Leaves,Herbal Tea,Lemon,Florida,Decaf,$40 ,$50 ,$20 ,$90 ,$54 ,312,$66 ,$20 ,1,$13 ,$120 ,$53 
772,1/1/12,Major Market,East,Leaves,Herbal Tea,Mint,Florida,Decaf,$50 ,$60 ,$40 ,$110 ,$69 ,965,$81 ,$21 ,1,$39 ,$150 ,$42 
508,1/1/12,Major Market,East,Leaves,Tea,Darjeeling,Massachusetts,Regular,$30 ,$50 ,$40 ,$80 ,$32 ,821,$48 ,$8 ,1,$29 ,$80 ,$19 
781,1/1/12,Major Market,East,Leaves,Tea,Green Tea,Massachusetts,Regular,$30 ,$50 ,$40 ,$80 ,$32 ,456,$48 ,$8 ,1,$29 ,$80 ,$19 
978,1/1/12,Major Market,East,Beans,Espresso,Regular Espresso,Massachusetts,Regular,$160 ,$170 ,$110 ,$330 ,$170 ,"1,091",$171 ,$47 ,1,$100 ,$341 ,$71 
781,1/1/12,Major Market,East,Beans,Espresso,Caffe Mocha,Massachusetts,Regular,$60 ,$60 ,($10),$120 ,$63 ,435,$63 ,$57 ,1,($23),$126 ,$86 
413,1/1/12,Major Market,East,Beans,Coffee,Colombian,Massachusetts,Regular,$60 ,$400 ,$360 ,$460 ,$72 ,558,$422 ,$23 ,1,$367 ,$494 ,$55 
339,1/1/12,Major Market,East,Leaves,Herbal Tea,Lemon,Massachusetts,Decaf,$40 ,$60 ,$30 ,$100 ,$58 ,338,$72 ,$22 ,1,$17 ,$130 ,$55 
603,1/1/12,Small Market,East,Leaves,Tea,Darjeeling,New Hampshire,Regular,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,$5 ,1,$10 ,$45 ,$17 
603,1/1/12,Small Market,East,Leaves,Tea,Green Tea,New Hampshire,Regular,$10 ,$30 ,$20 ,$40 ,$17 ,777,$26 ,$4 ,1,$11 ,$43 ,$15 
603,1/1/12,Small Market,East,Beans,Espresso,Regular Espresso,New Hampshire,Regular,$20 ,$40 ,$0 ,$60 ,$29 ,169,$36 ,$11 ,1,($8),$65 ,$44 
603,1/1/12,Small Market,East,Beans,Espresso,Caffe Mocha,New Hampshire,Regular,$30 ,$50 ,$0 ,$80 ,$37 ,261,$53 ,$34 ,1,($10),$90 ,$63 
603,1/1/12,Small Market,East,Beans,Coffee,Amaretto,New Hampshire,Regular,$30 ,$50 ,$30 ,$80 ,$38 ,241,$55 ,$12 ,1,$20 ,$93 ,$35 
603,1/1/12,Small Market,East,Beans,Coffee,Colombian,New Hampshire,Regular,$40 ,$70 ,$40 ,$110 ,$48 ,372,$72 ,$15 ,1,$25 ,$120 ,$47 
603,1/1/12,Small Market,East,Leaves,Herbal Tea,Lemon,New Hampshire,Decaf,$20 ,$30 ,$0 ,$50 ,$34 ,197,$42 ,$12 ,1,($4),$76 ,$46 
347,1/1/12,Major Market,East,Leaves,Tea,Darjeeling,New York,Regular,$100 ,$150 ,$120 ,$250 ,$95 ,821,$139 ,$26 ,1,$101 ,$234 ,$38 
646,1/1/12,Major Market,East,Leaves,Tea,Earl Grey,New York,Regular,$90 ,$140 ,$110 ,$230 ,$89 ,777,$130 ,$24 ,1,$94 ,$219 ,$36 
347,1/1/12,Major Market,East,Leaves,Tea,Green Tea,New York,Regular,$50 ,$90 ,$70 ,$140 ,$54 ,456,$80 ,$15 ,1,$54 ,$134 ,$26 
631,1/1/12,Major Market,East,Beans,Espresso,Regular Espresso,New York,Regular,$210 ,$270 ,$200 ,$480 ,$228 ,"1,459",$262 ,$63 ,1,$175 ,$490 ,$87 
315,1/1/12,Major Market,East,Beans,Espresso,Caffe Mocha,New York,Regular,$100 ,($50),($170),$50 ,$105 ,725,($44),$95 ,1,($172),$61 ,$128 
716,1/1/12,Major Market,East,Beans,Coffee,Colombian,New York,Regular,$260 ,$380 ,$260 ,$640 ,$271 ,"2,101",$407 ,$94 ,1,$262 ,$678 ,$145 
607,1/1/12,Major Market,East,Leaves,Herbal Tea,Lemon,New York,Decaf,$180 ,$190 ,$100 ,$370 ,$245 ,"1,419",$238 ,$93 ,1,$111 ,$483 ,$127 
845,1/1/12,Major Market,East,Leaves,Herbal Tea,Mint,New York,Decaf,$150 ,($10),($70),$140 ,$207 ,965,($27),$64 ,1,($113),$180 ,$86 
337,1/1/12,Small Market,South,Beans,Espresso,Caffe Mocha,Louisiana,Regular,$50 ,$100 ,$80 ,$150 ,$67 ,400,$113 ,$20 ,1,$70 ,$180 ,$43 
337,1/1/12,Small Market,South,Beans,Espresso,Decaf Espresso,Louisiana,Decaf,$50 ,$70 ,$50 ,$120 ,$61 ,390,$89 ,$19 ,1,$48 ,$150 ,$41 
337,1/1/12,Small Market,South,Leaves,Herbal Tea,Chamomile,Louisiana,Decaf,$40 ,$60 ,$40 ,$100 ,$49 ,623,$63 ,$16 ,1,$35 ,$112 ,$28 
504,1/1/12,Small Market,South,Leaves,Herbal Tea,Lemon,Louisiana,Decaf,$80 ,$100 ,$40 ,$180 ,$85 ,494,$105 ,$32 ,1,$40 ,$190 ,$65 
504,1/1/12,Small Market,South,Beans,Espresso,Caffe Latte,Louisiana,Regular,$60 ,$90 ,$10 ,$150 ,$75 ,522,$105 ,$68 ,1,$8 ,$180 ,$97 
225,1/1/12,Small Market,South,Beans,Coffee,Colombian,Louisiana,Regular,$40 ,$60 ,$50 ,$100 ,$34 ,777,$51 ,$9 ,1,$30 ,$85 ,$21 
985,1/1/12,Small Market,South,Beans,Coffee,Decaf Irish Cream,Louisiana,Decaf,$40 ,$60 ,$50 ,$100 ,$33 ,777,$48 ,$9 ,1,$28 ,$81 ,$20 
505,1/1/12,Small Market,South,Beans,Espresso,Caffe Mocha,New Mexico,Regular,$30 ,$40 ,($10),$70 ,$37 ,261,$53 ,$34 ,1,($10),$90 ,$63 
505,1/1/12,Small Market,South,Beans,Espresso,Decaf Espresso,New Mexico,Decaf,$30 ,$40 ,$10 ,$70 ,$35 ,196,$47 ,$11 ,1,$9 ,$82 ,$38 
505,1/1/12,Small Market,South,Leaves,Herbal Tea,Chamomile,New Mexico,Decaf,$10 ,$30 ,$20 ,$40 ,$18 ,821,$27 ,$5 ,1,$11 ,$45 ,$16 
505,1/1/12,Small Market,South,Leaves,Herbal Tea,Lemon,New Mexico,Decaf,$20 ,$40 ,$20 ,$60 ,$28 ,965,$34 ,$8 ,1,$4 ,$62 ,$30 
505,1/1/12,Small Market,South,Beans,Espresso,Caffe Latte,New Mexico,Regular,$20 ,$30 ,$0 ,$50 ,$29 ,169,$36 ,$11 ,1,($8),$65 ,$44 
505,1/1/12,Small Market,South,Beans,Coffee,Colombian,New Mexico,Regular,$60 ,$90 ,$50 ,$150 ,$48 ,372,$72 ,$15 ,1,$26 ,$120 ,$46 
505,1/1/12,Small Market,South,Beans,Coffee,Decaf Irish Cream,New Mexico,Decaf,$110 ,$10 ,($30),$120 ,$88 ,525,$11 ,$27 ,1,($39),$99 ,$50 
405,1/1/12,Small Market,South,Beans,Espresso,Caffe Mocha,Oklahoma,Regular,$20 ,$40 ,$40 ,$60 ,$32 ,456,$48 ,$8 ,1,$28 ,$80 ,$20 
405,1/1/12,Small Market,South,Beans,Espresso,Decaf Espresso,Oklahoma,Decaf,$70 ,$110 ,$70 ,$180 ,$84 ,651,$126 ,$27 ,1,$67 ,$210 ,$59 
918,1/1/12,Small Market,South,Leaves,Herbal Tea,Chamomile,Oklahoma,Decaf,$50 ,$60 ,$20 ,$110 ,$54 ,312,$66 ,$20 ,1,$13 ,$120 ,$53 
580,1/1/12,Small Market,South,Leaves,Herbal Tea,Lemon,Oklahoma,Decaf,$70 ,$110 ,$30 ,$180 ,$79 ,551,$111 ,$72 ,1,$10 ,$190 ,$101 
405,1/1/12,Small Market,South,Beans,Espresso,Caffe Latte,Oklahoma,Regular,$70 ,$100 ,$70 ,$170 ,$84 ,500,$116 ,$26 ,1,$66 ,$200 ,$50 
580,1/1/12,Small Market,South,Beans,Coffee,Colombian,Oklahoma,Regular,$50 ,$70 ,$50 ,$120 ,$44 ,623,$56 ,$14 ,1,$29 ,$100 ,$27 
580,1/1/12,Small Market,South,Beans,Coffee,Decaf Irish Cream,Oklahoma,Decaf,$40 ,$60 ,$50 ,$100 ,$32 ,821,$48 ,$8 ,1,$28 ,$80 ,$20 
325,1/1/12,Major Market,South,Beans,Espresso,Caffe Mocha,Texas,Regular,$70 ,$110 ,$90 ,$180 ,$89 ,777,$130 ,$24 ,1,$95 ,$219 ,$35 
956,1/1/12,Major Market,South,Beans,Espresso,Decaf Espresso,Texas,Decaf,$40 ,$70 ,$60 ,$110 ,$54 ,456,$80 ,$15 ,1,$54 ,$134 ,$26 
281,1/1/12,Major Market,South,Leaves,Herbal Tea,Chamomile,Texas,Decaf,$50 ,$80 ,$50 ,$130 ,$60 ,336,$80 ,$19 ,1,$33 ,$140 ,$47 
254,1/1/12,Major Market,South,Leaves,Herbal Tea,Lemon,Texas,Decaf,$50 ,$80 ,$50 ,$130 ,$57 ,364,$83 ,$18 ,1,$42 ,$140 ,$41 
830,1/1/12,Major Market,South,Beans,Espresso,Caffe Latte,Texas,Regular,$60 ,$90 ,$50 ,$150 ,$72 ,558,$108 ,$23 ,1,$53 ,$180 ,$55 
409,1/1/12,Major Market,South,Beans,Coffee,Colombian,Texas,Regular,$260 ,$300 ,$220 ,$560 ,$207 ,965,$245 ,$64 ,1,$159 ,$452 ,$86 
325,1/1/12,Major Market,South,Beans,Coffee,Decaf Irish Cream,Texas,Decaf,$100 ,$130 ,$100 ,$230 ,$83 ,623,$107 ,$27 ,1,$68 ,$190 ,$39 
435,1/1/12,Small Market,West,Beans,Espresso,Caffe Latte,Utah,Regular,$40 ,$60 ,$40 ,$100 ,$46 ,777,$68 ,$12 ,1,$44 ,$114 ,$24 
435,1/1/12,Small Market,West,Beans,Espresso,Caffe Mocha,Utah,Regular,$40 ,$60 ,$40 ,$100 ,$49 ,623,$63 ,$16 ,1,$34 ,$112 ,$29 
435,1/1/12,Small Market,West,Beans,Espresso,Decaf Espresso,Utah,Decaf,$40 ,$70 ,$50 ,$110 ,$50 ,821,$73 ,$14 ,1,$47 ,$123 ,$26 
801,1/1/12,Small Market,West,Leaves,Herbal Tea,Chamomile,Utah,Decaf,$30 ,$50 ,$30 ,$80 ,$38 ,241,$55 ,$12 ,1,$21 ,$93 ,$34 
435,1/1/12,Small Market,West,Leaves,Herbal Tea,Lemon,Utah,Decaf,$40 ,$60 ,$30 ,$100 ,$48 ,372,$72 ,$15 ,1,$25 ,$120 ,$47 
435,1/1/12,Small Market,West,Leaves,Herbal Tea,Mint,Utah,Decaf,$70 ,$10 ,($30),$80 ,$88 ,525,$11 ,$27 ,1,($40),$99 ,$51 
435,1/1/12,Small Market,West,Leaves,Tea,Darjeeling,Utah,Regular,$20 ,$40 ,$0 ,$60 ,$37 ,261,$53 ,$34 ,1,($10),$90 ,$63 
435,1/1/12,Small Market,West,Leaves,Tea,Earl Grey,Utah,Regular,$20 ,$30 ,$10 ,$50 ,$35 ,196,$47 ,$11 ,1,$9 ,$82 ,$38 
435,1/1/12,Small Market,West,Leaves,Tea,Green Tea,Utah,Regular,$10 ,$30 ,$10 ,$40 ,$29 ,169,$36 ,$11 ,1,($9),$65 ,$45 
801,1/1/12,Small Market,West,Beans,Coffee,Amaretto,Utah,Regular,$90 ,$120 ,$80 ,$210 ,$78 ,965,$92 ,$24 ,1,$47 ,$170 ,$45 
435,1/1/12,Small Market,West,Beans,Coffee,Colombian,Utah,Regular,$60 ,$100 ,$70 ,$160 ,$55 ,312,$75 ,$18 ,1,$30 ,$130 ,$45 
801,1/1/12,Small Market,West,Beans,Coffee,Decaf Irish Cream,Utah,Decaf,$100 ,$130 ,$70 ,$230 ,$85 ,494,$105 ,$32 ,1,$39 ,$190 ,$66 
661,1/1/12,Major Market,West,Beans,Espresso,Caffe Latte,California,Regular,$210 ,$220 ,$150 ,$430 ,$228 ,"1,459",$228 ,$63 ,1,$140 ,$456 ,$88 
818,1/1/12,Major Market,West,Beans,Espresso,Caffe Mocha,California,Regular,$100 ,$140 ,$20 ,$240 ,$105 ,725,$145 ,$95 ,1,$17 ,$250 ,$128 
213,1/1/12,Major Market,West,Beans,Espresso,Decaf Espresso,California,Decaf,$220 ,$300 ,$200 ,$520 ,$234 ,"1,310",$312 ,$77 ,1,$203 ,$546 ,$109 
510,1/1/12,Major Market,West,Leaves,Herbal Tea,Chamomile,California,Decaf,$80 ,$120 ,$100 ,$200 ,$95 ,821,$139 ,$26 ,1,$102 ,$234 ,$37 
310,1/1/12,Major Market,West,Leaves,Herbal Tea,Lemon,California,Decaf,$170 ,$220 ,$160 ,$390 ,$207 ,965,$245 ,$64 ,1,$160 ,$452 ,$85 
707,1/1/12,Major Market,West,Leaves,Herbal Tea,Mint,California,Decaf,$70 ,$90 ,$60 ,$160 ,$83 ,623,$107 ,$27 ,1,$67 ,$190 ,$40 
619,1/1/12,Major Market,West,Leaves,Tea,Darjeeling,California,Regular,$50 ,$90 ,$80 ,$140 ,$89 ,777,$130 ,$24 ,1,$94 ,$219 ,$36 
650,1/1/12,Major Market,West,Leaves,Tea,Earl Grey,California,Regular,$30 ,$60 ,$60 ,$90 ,$54 ,456,$80 ,$15 ,1,$54 ,$134 ,$26 
760,1/1/12,Major Market,West,Leaves,Tea,Green Tea,California,Regular,$40 ,$80 ,$50 ,$120 ,$72 ,558,$108 ,$23 ,1,$54 ,$180 ,$54 
916,1/1/12,Major Market,West,Beans,Coffee,Amaretto,California,Regular,$110 ,$70 ,$30 ,$180 ,$95 ,608,$50 ,$30 ,1,($2),$145 ,$52 
559,1/1/12,Major Market,West,Beans,Coffee,Colombian,California,Regular,$340 ,$500 ,$370 ,$840 ,$271 ,"2,101",$407 ,$94 ,1,$262 ,$678 ,$145 
650,1/1/12,Major Market,West,Beans,Coffee,Decaf Irish Cream,California,Decaf,$180 ,($40),($120),$140 ,$144 ,862,($26),$47 ,1,($117),$118 ,$91 
775,1/1/12,Small Market,West,Beans,Espresso,Caffe Latte,Nevada,Regular,$10 ,$30 ,$20 ,$40 ,$17 ,777,$26 ,$4 ,1,$11 ,$43 ,$15 
