Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Number_of_Strikes,Speed_IAS_in_knots
SACRAMENTO INTL,B-737-300,None,5/22/90 0:00,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
CHICAGO O'HARE INTL ARPT,B-727-200,None,5/22/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
SAN FRANCISCO INTL ARPT,B-767,None,5/23/90 0:00,DELTA AIR LINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,150
CHARLESTON AFB/INTL ARPT,C-141B,None,5/24/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,250
HOUSTON-HOBBY,B-737-300,None,5/24/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,1,250
LAMBERT-ST LOUIS INTL,L-1011,None,5/26/90 0:00,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,1,160
HOUSTON-HOBBY,B-737,None,5/26/90 0:00,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,5/26/90 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,180
NASHVILLE INTL,B-727-200,None,5/26/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,1,170
SACRAMENTO INTL,B-737-300,None,5/27/90 0:00,UNITED AIRLINES,California,Approach,Medium,Mallard,Day,0,0,0,1,140
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,5/27/90 0:00,US AIRWAYS*,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,180
DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/27/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,1,170
LOUISVILLE INTL ARPT,DC-9-10,None,5/29/90 0:00,TRANS WORLD AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,1,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,1,135
CHICAGO O'HARE INTL ARPT,B-727-200,None,5/29/90 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,European starling,Day,0,0,0,1,160
NEW ORLEANS INTL,B-737-200,None,5/30/90 0:00,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
LAMBERT-ST LOUIS INTL,GULFAERO IV,None,5/30/90 0:00,BUSINESS,Missouri,Landing Roll,Small,European starling,Day,0,0,0,1,140
LAMBERT-ST LOUIS INTL,B-737-300,None,5/31/90 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,1,135
LOUISVILLE INTL ARPT,DC-8,None,5/31/90 0:00,UPS AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,120
BARKSDALE AIR FORCE BASE ARPT,B-52,None,6/1/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,146
DALLAS/FORT WORTH INTL ARPT,DC-10,None,6/1/90 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,European starling,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,MD-80,None,6/4/90 0:00,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,1,210
WILL ROGERS WORLD ARPT,MD-80,None,6/5/90 0:00,AMERICAN AIRLINES,Oklahoma,Climb,Small,Rock pigeon,Day,0,0,0,1,180
LAMBERT-ST LOUIS INTL,B-737-200,None,6/6/90 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,1,210
GREATER PITTSBURGH,A-7,None,6/7/90 0:00,MILITARY,Pennsylvania,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,1,120
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/7/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,200
CHICAGO O'HARE INTL ARPT,MD-80,None,6/7/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,1,210
METRO OAKLAND INTL,B-737-200,None,6/8/90 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,1,135
NASHVILLE INTL,B-727-200,None,6/9/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,1,136
BALTIMORE WASH INTL,BA-31 JETSTR,None,6/9/90 0:00,PSA AIRLINES,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,130
GREATER PITTSBURGH,B-727,None,6/11/90 0:00,UNITED AIRLINES,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/12/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,150
WILL ROGERS WORLD ARPT,B-737-300,None,6/12/90 0:00,SOUTHWEST AIRLINES,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,1,135
SAN ANTONIO INTL,DC-10-10,None,6/14/90 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,250
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,6/14/90 0:00,US AIRWAYS*,Kentucky,Landing Roll,Small,American robin,Day,0,0,0,1,120
NASHVILLE INTL,B-727-100,None,6/14/90 0:00,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,American robin,Dusk,0,0,0,1,85
WILL ROGERS WORLD ARPT,B-737-200,Medium,6/17/90 0:00,SOUTHWEST AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,180
LOGAN INTL,B-757-200,None,6/18/90 0:00,AMERICA WEST AIRLINES,Massachusetts,Approach,Medium,Herring gull,Dawn,48704,0,48704,1,130
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/19/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,1,130
GREATER PITTSBURGH,MD-80,None,6/19/90 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
SAN FRANCISCO INTL ARPT,DC-8-70,None,6/20/90 0:00,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,140
ORLANDO INTL,MD-80,None,6/21/90 0:00,AMERICAN AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/22/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,150
HOUSTON-HOBBY,B-737-300,None,6/23/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,250
CLEVELAND-HOPKINS INTL ARPT,B-737,None,6/23/90 0:00,CONTINENTAL AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,1,110
CLEVELAND-HOPKINS INTL ARPT,BA-31 JETSTR,None,6/23/90 0:00,PSA AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,1,100
MINETA SAN JOSE INTL,MD-80,None,6/23/90 0:00,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,1,110
PORT COLUMBUS INTL,B-727,None,6/23/90 0:00,UNKNOWN,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,1,
BARKSDALE AIR FORCE BASE ARPT,KC-135,None,6/26/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,1,160
EPPLEY AIRFIELD,MD-87,None,6/26/90 0:00,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
ATLANTIC CITY INTL,CV-580,None,6/27/90 0:00,GOVERNMENT,New Jersey,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,40
CHICAGO O'HARE INTL ARPT,B-727-200,None,6/28/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
DALLAS/FORT WORTH INTL ARPT,B-727-100,None,6/28/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,1,250
CHICAGO O'HARE INTL ARPT,MD-80,None,6/30/90 0:00,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,145
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/1/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
HONOLULU INTL ARPT,DC-10-10,None,7/3/90 0:00,AMERICAN AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,137
GEORGE BUSH INTERCONTINENTAL,B-727-200,None,7/3/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,7/5/90 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,1,125
CHARLESTON AFB/INTL ARPT,MD-80,None,7/6/90 0:00,AMERICAN AIRLINES,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,100
SACRAMENTO INTL,B-737-200,None,7/6/90 0:00,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,1,125
LOUISVILLE INTL ARPT,B-737,None,7/7/90 0:00,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,140
MINETA SAN JOSE INTL,B-767,Minor,7/8/90 0:00,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,140
SALT LAKE CITY INTL,MD-80,None,7/8/90 0:00,AMERICAN AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,7/8/90 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,1,134
CHICAGO O'HARE INTL ARPT,B-727,None,7/8/90 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,1,210
SEATTLE-TACOMA INTL,DC-10,None,7/9/90 0:00,NORTHWEST AIRLINES,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,200
ATLANTA INTL,B-737,None,7/10/90 0:00,UNITED AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
MEMPHIS INTL,MD-80,None,7/10/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,1,130
SALT LAKE CITY INTL,B-727,Minor,7/11/90 0:00,DELTA AIR LINES,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,1,350
ATLANTA INTL,B-767,None,7/11/90 0:00,DELTA AIR LINES,Georgia,Landing Roll,Small,European starling,Dawn,0,0,0,1,130
SAN FRANCISCO INTL ARPT,L-1011,None,7/11/90 0:00,TRANS WORLD AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,1,
CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,7/12/90 0:00,BUSINESS,Ohio,Approach,Small,American robin,Day,0,0,0,1,130
LIHUE ARPT,B-737-300,Substantial,7/13/90 0:00,ALOHA AIRLINES,Hawaii,Take-off run,Small,Short-eared owl,Dawn,0,0,0,1,85
LOS ANGELES INTL,MD-80,None,7/13/90 0:00,ALASKA AIRLINES,California,Landing Roll,Small,American kestrel,Day,0,0,0,1,125
GREATER PITTSBURGH,MD-80,None,7/15/90 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,160
NASHVILLE INTL,MD-80,None,7/15/90 0:00,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,1,120
METRO OAKLAND INTL,BA-146-200,Minor,7/16/90 0:00,US AIRWAYS*,California,Climb,Large,Canada goose,Dusk,0,0,0,1,130
KANSAS CITY INTL,MD-80,None,7/16/90 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
ATLANTIC CITY INTL,B-727,None,7/16/90 0:00,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,1,120
ATLANTIC CITY INTL,FOKKER F100,None,7/16/90 0:00,US AIRWAYS*,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,MD-82,None,7/17/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
ATLANTIC CITY INTL,B-727,None,7/17/90 0:00,BUSINESS,New Jersey,Take-off run,Small,Laughing gull,Day,0,0,0,1,
GREATER PITTSBURGH,MD-80,None,7/19/90 0:00,AMERICAN AIRLINES,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,125
ATLANTA INTL,B-727,None,7/20/90 0:00,TRANS WORLD AIRLINES,Georgia,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,190
NEWARK LIBERTY INTL ARPT,DC-10,None,7/21/90 0:00,FEDEX EXPRESS,New Jersey,Landing Roll,Large,Unknown bird - large,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/22/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
KANSAS CITY INTL,B-737-300,None,7/23/90 0:00,AMERICA WEST AIRLINES,Missouri,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,1,120
ATLANTIC CITY INTL,FOKKER F100,None,7/23/90 0:00,US AIRWAYS*,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,1,
CLEVELAND-HOPKINS INTL ARPT,MD-80,Minor,7/23/90 0:00,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,1,140
LAMBERT-ST LOUIS INTL,MD-82,Minor,7/24/90 0:00,AMERICAN AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,1,220
LOUISVILLE INTL ARPT,HAWKER-SDLY HS125,None,7/25/90 0:00,BUSINESS,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,1,120
CHICAGO O'HARE INTL ARPT,B-757-200,None,7/26/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,135
GEORGE BUSH INTERCONTINENTAL,B-727-100,None,7/26/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
HOUSTON-HOBBY,B-737-300,None,7/28/90 0:00,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,120
MINETA SAN JOSE INTL,PA-23-250,None,7/29/90 0:00,UNKNOWN,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,100
ATLANTIC CITY INTL,DC-9,None,7/29/90 0:00,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,MD-82,None,7/29/90 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,1,250
PHILADELPHIA INTL,DC-8,None,7/30/90 0:00,UNITED AIRLINES,Pennsylvania,Approach,Large,Canada goose,Day,0,0,0,1,130
HOUSTON-HOBBY,MD-80,None,7/30/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,128
